,0,1
0,1.755,-1.4058
1,1.7949,-0.44611
2,0.03851,1.0031
3,-0.90369,1.388
4,-0.79451,0.75143
5,0.92391,0.68241
6,-0.34614,-0.45449
7,1.6236,-0.63462
8,1.0112,-0.57946
9,-1.2324,-2.7937
10,0.32362,-0.27588
11,1.1163,-0.99338
12,0.10311,-0.64831
13,-0.77024,0.33327
14,1.1554,0.24147
15,1.4369,-1.2754
16,-0.062106,-0.18072
17,0.76783,0.093671
18,-0.69983,-0.5315
19,-0.27103,-1.9542
20,1.8197,-0.44238
21,0.72026,1.6639
22,0.084234,0.042956
23,0.31184,0.97517
24,-0.93619,0.81742
25,-0.70393,-0.56085
26,1.4694,1.3808
27,1.4266,0.37163
28,1.2877,0.66042
29,1.9127,-0.96932
30,1.3121,-0.58132
31,0.81113,-1.2809
32,2.0588,-0.55311
33,1.1506,0.26299
34,0.93347,0.24963
35,-0.61875,1.5394
36,-0.7197,0.49644
37,0.77422,0.21946
38,-0.12803,1.1348
39,-1.5573,0.92221
40,-2.9932,0.79755
41,-0.73494,0.60483
42,-1.7913,-0.1864
43,-0.78768,-1.326
44,2.0777,-1.6499
45,2.7793,-0.16979
46,1.468,2.7614
47,0.72529,1.8724
48,1.0897,1.6546
49,-0.93752,2.7129
50,-0.75064,0.9238
51,-1.3362,-0.020551
52,-0.3964,1.2694
53,-0.85647,1.0545
54,-0.52344,1.5666
55,-0.37897,0.80352
56,1.4647,0.35879
57,0.25679,2.0066
58,-0.32555,2.3058
59,-1.2477,1.8801
60,-1.2962,1.9779
61,-1.4158,0.12563
62,-0.64672,0.37521
63,-1.8094,2.468
64,-0.98866,-0.084338
65,0.005357,-1.296
66,1.5441,-2.5976
67,0.85138,-2.4031
68,0.13451,-0.83236
69,-0.68865,-0.72645
70,-0.89518,-1.1459
71,-0.71657,0.27609
72,-0.68515,0.90963
73,1.9733,0.7664
74,0.76416,0.57224
75,-0.95588,0.21873
76,0.33158,-0.5725
77,1.7694,1.2166
78,0.32677,1.9733
79,0.28346,1.8417
80,1.2516,1.5549
81,-0.62844,1.9935
82,-1.318,1.2279
83,0.201,-1.3552
84,-0.21326,-0.26186
85,0.37393,0.49594
86,0.12195,-0.66764
87,0.28485,0.0011962
88,-0.1606,-0.67076
89,0.12776,-0.20881
90,0.14015,-0.67872
91,1.3311,-0.19377
92,1.7891,0.99536
93,0.32247,-0.79781
94,-0.86181,-2.8255
95,-1.0486,0.048238
96,0.11701,-0.1635
97,-0.55392,-0.99925
98,-1.3057,-0.70531
99,0.099414,2.2157
100,0.89228,1.8462
101,2.0653,1.5914
102,-1.1926,0.68148
103,-1.0547,-0.20605
104,0.92084,-1.4126
105,0.55384,-0.55164
106,0.5826,0.38685
107,-1.6216,0.31788
108,-1.4749,-1.4963
109,-0.77297,-2.0862
110,-0.90663,-0.28611
111,0.29236,-0.6043
112,1.2771,-1.6897
113,0.4095,-1.7383
114,0.20593,1.5338
115,-0.52668,1.5991
116,-0.37723,0.89389
117,-1.7617,-1.1544
118,-1.3034,-0.35266
119,-2.1804,-1.462
120,-0.36361,-0.56641
121,0.9386,-2.2194
122,-1.2188,-0.90132
123,-0.64236,-1.1533
124,0.49985,-1.5054
125,0.38117,-0.53301
126,-0.087523,0.53526
127,0.59991,0.98326
128,-0.086084,-0.36682
129,-0.10146,-1.3264
130,2.1836,-1.4829
131,3.4008,-1.1587
132,1.8658,-0.76599
133,1.8018,-0.18045
134,0.26875,-0.18772
135,0.80777,0.7951
136,-0.64862,0.33884
137,-0.44788,0.96486
138,-0.11969,0.4635
139,-1.1041,0.22579
140,-0.29645,0.36824
141,0.085075,0.90194
142,0.15835,1.7758
143,-1.6663,1.6687
144,-1.1311,2.3157
145,-0.5325,0.45924
146,1.1743,1.4045
147,1.5023,0.93894
148,0.12346,-0.39001
149,-0.34804,-0.86143
150,0.42015,-0.30739
151,-0.14374,1.7415
152,0.052736,1.5777
153,-1.4897,0.73714
154,-3.0662,-1.1298
155,-0.19358,-0.33599
156,0.84969,0.84032
157,-1.6143,2.0128
158,-2.819,-0.71943
159,-2.9236,-1.0236
160,-1.9896,-1.1482
161,-0.81374,-0.08088
162,0.95803,0.83679
163,0.52661,0.43461
164,0.55772,-0.51793
165,0.79438,-2.2585
166,0.10839,-2.2738
167,0.55513,-2.725
168,-0.051055,-0.23873
169,0.27596,1.6997
170,-0.45576,-0.42883
171,1.281,0.052123
172,-0.10703,-0.92278
173,-0.38224,-0.42419
174,2.0756,0.16925
175,0.13976,-0.20679
176,-1.8111,0.66792
177,-1.1509,1.2415
178,-0.61297,1.0805
179,0.62771,0.90346
180,0.65076,0.071042
181,0.2365,0.68136
182,2.1372,1.0819
183,-0.0059503,-0.31387
184,-0.51552,-0.30398
185,-0.43951,-0.41516
186,0.4937,-0.27396
187,-0.99723,0.062834
188,0.55747,0.16234
189,-0.27528,0.48625
190,2.5121,-0.14934
191,2.5486,0.19331
192,0.21709,0.78735
193,0.43718,-0.16072
194,-0.14365,-0.56591
195,0.0031849,-0.29701
196,0.87736,-0.39493
197,1.3928,0.44727
198,1.09,0.5552
199,0.2181,0.52031
200,0.2227,-1.8863
201,0.28519,-2.7547
202,0.11246,-1.4829
203,1.1997,-0.59776
204,0.011929,-1.9431
205,-2.3039,-0.13047
206,-1.1027,0.61336
207,-0.28746,0.33107
208,0.14899,0.31754
209,0.46649,0.97839
210,-0.25652,-0.014186
211,-0.41822,-0.26467
212,0.55741,0.17144
213,-0.064588,-1.1029
214,0.046893,-1.4445
215,0.6826,-0.81319
216,2.6254,-1.6481
217,0.39916,-1.5909
218,-1.4273,-0.39789
219,-0.66383,0.79664
220,0.59934,-0.16371
221,-0.80154,1.084
222,-3.1475,2.4813
223,-1.0032,2.6389
224,0.92973,0.66229
225,2.3485,0.50968
226,-0.40819,0.67936
227,-0.65198,-0.2992
228,0.5789,-1.2459
229,0.70499,-0.26772
230,-0.70961,0.65178
231,-0.45793,-0.33671
232,0.30653,0.70418
233,0.16706,0.87273
234,1.1824,1.2517
235,-0.053648,0.21512
236,-0.45053,-0.26928
237,0.05713,-0.077388
238,0.044775,1.3472
239,2.2918,-0.41238
240,1.768,-1.9494
241,-0.71097,-1.3889
242,0.67129,0.22012
243,1.9821,1.8752
244,-0.27832,0.36858
245,0.71987,0.6523
246,0.41027,-0.35516
247,1.7565,-0.26848
248,1.7681,1.0155
249,-0.15217,-0.65831
250,-0.35481,0.083441
251,0.96223,-1.1677
252,1.5019,-1.1559
253,1.9832,-1.7595
254,2.2185,0.24966
255,1.9431,0.82036
256,0.56295,-0.27741
257,0.014562,-1.5687
258,-1.224,-0.76307
259,-1.0885,-1.9266
260,-1.0401,-0.31155
261,1.2242,2.8758
262,0.1235,-0.53454
263,0.54671,-0.59734
264,-0.41899,0.0050917
265,-0.028764,-2.5035
266,0.13781,-0.44778
267,-0.8293,0.066343
268,-0.93992,0.37423
269,0.73161,-0.7242
270,0.83245,-1.6365
271,1.3447,-1.8463
272,1.3712,1.2005
273,0.93443,2.4378
274,-0.39373,0.95091
275,-1.6049,-2.2058
276,-1.9187,-1.9899
277,0.058307,0.030337
278,0.52925,-0.74471
279,1.2607,-0.82154
280,-0.47585,0.045207
281,0.93361,-0.20208
282,0.8673,-0.56583
283,-1.3233,0.1057
284,-0.83852,-0.51757
285,0.3405,-0.3196
286,-0.038842,-1.0869
287,0.31512,-1.02
288,0.46692,-0.69195
289,1.1425,0.35228
290,1.1773,0.18393
291,-0.30568,-0.62788
292,-0.1438,0.50994
293,1.1827,0.32374
294,-1.1883,0.61026
295,-0.19066,-0.16788
296,1.7446,0.1477
297,-0.27103,0.4075
298,0.022129,-0.93751
299,0.2948,-0.44874
300,1.1154,-0.86338
301,0.91712,-1.3425
302,-0.060435,-0.032907
303,-2.537,-0.87329
304,-1.178,-0.16069
305,-0.52895,0.01777
306,-0.80054,-0.37102
307,-1.6611,-0.6983
308,0.050673,-0.22139
309,0.57883,2.5848
310,0.74244,2.3953
311,0.35457,0.56915
312,-1.5617,0.49632
313,-1.811,0.24794
314,0.7955,1.3796
315,-0.17556,1.3562
316,0.74032,-0.77327
317,-0.087755,-1.8194
318,-0.41984,0.44749
319,0.39833,0.32892
320,1.0594,-0.9517
321,1.6637,-0.4428
322,1.0103,0.6618
323,0.21414,-0.2376
324,-0.34457,0.2442
325,-0.75394,0.17124
326,1.127,-1.0456
327,0.82968,-0.28334
328,1.6679,0.0075471
329,0.65406,-1.5803
330,-0.36474,-3.2995
331,0.14419,-1.1212
332,2.5228,-0.79549
333,2.6206,1.248
334,0.56075,0.22349
335,-2.4915,1.5762
336,-1.5953,0.024654
337,0.7995,1.4433
338,-0.44437,1.3957
339,-0.90744,-0.4704
340,1.3965,-1.9438
341,0.33426,-0.96598
342,-0.16127,-0.71983
343,-0.36097,0.049061
344,-0.75149,0.52454
345,-2.1847,-0.085444
346,-1.2639,-0.82576
347,-0.21652,0.047823
348,-0.45171,0.065089
349,1.0198,0.32976
350,0.58185,0.52152
351,-0.40717,-1.8623
352,-1.4772,-0.29054
353,-0.3404,2.0077
354,0.049735,0.43881
355,0.35849,0.51158
356,1.8896,-1.8257
357,-0.45903,-1.1717
358,0.017816,-0.34631
359,-0.093039,-1.2292
360,-0.40658,-1.4812
361,-0.5611,-1.8705
362,-0.71624,-0.15856
363,-0.93451,3.8797
364,-0.51829,3.4989
365,0.27615,-0.26872
366,-0.030265,-0.79071
367,-0.378,0.90947
368,-0.30931,0.38951
369,0.48559,-0.25237
370,0.62674,-1.7674
371,1.2467,0.16044
372,0.59218,-0.24542
373,0.55171,-0.36395
374,0.25389,1.0594
375,-0.33211,1.7844
376,-1.8058,1.2766
377,-2.2564,-1.0219
378,-2.0744,1.6832
379,-0.53833,0.90409
380,-0.55117,-0.64587
381,-0.53337,0.21345
382,-1.6607,-1.6744
383,-0.50554,-3.3091
384,0.11235,-1.4326
385,2.4281,0.68374
386,1.8802,-0.92569
387,1.2342,-3.2529
388,1.9684,-2.1329
389,1.1874,-1.4154
390,-0.26444,-0.9268
391,-0.18498,-1.1485
392,-0.22519,0.34661
393,0.087079,1.2736
394,1.7824,0.3265
395,2.2029,0.0060169
396,0.6718,0.11842
397,-2.232,1.6549
398,0.013855,0.50253
399,-0.9137,0.88116
400,-2.4605,0.82562
401,-0.38817,0.27469
402,0.7393,-1.0305
403,1.1378,-0.09366
404,0.76247,0.5226
405,-1.187,-2.1586
406,-0.46665,-0.4397
407,0.90515,-0.91652
408,0.025899,-1.2718
409,-0.41475,-2.1873
410,0.035828,0.15651
411,0.7712,-1.8352
412,0.85107,-1.7391
413,-1.1048,1.6421
414,-0.59895,0.55675
415,-0.39854,0.17714
416,0.51841,-0.3553
417,0.48124,-0.31235
418,-0.59576,0.048864
419,-1.7936,0.27651
420,-3.3215,0.71216
421,-1.9166,-0.65626
422,-0.25817,0.21689
423,0.35217,-1.0114
424,1.0164,-0.78735
425,0.40107,1.6609
426,0.90686,0.42356
427,1.7582,-1.2966
428,0.69212,-0.85257
429,-0.76345,-0.40538
430,-0.94396,-0.50554
431,0.66042,-1.5039
432,1.0004,-1.9413
433,-0.41471,-0.22077
434,0.11466,-0.97511
435,-0.027755,-2.1205
436,-0.71086,-1.8178
437,0.034696,0.35392
438,0.62444,0.84817
439,0.79787,2.0335
440,1.7527,2.4367
441,0.8661,0.015004
442,-0.11517,0.64302
443,0.34028,-0.17429
444,-0.38104,0.34117
445,0.33849,1.1159
446,-0.7662,1.1076
447,-0.84419,1.5172
448,-1.8827,0.76135
449,-0.79598,0.11528
450,1.6651,0.97267
451,0.33252,0.017336
452,0.42874,-2.1198
453,1.2389,-2.651
454,-0.70247,-0.44975
455,-0.29822,-0.022021
456,-0.43671,1.395
457,-1.1517,0.75989
458,0.74616,-0.3498
459,-0.088445,0.23632
460,-0.99732,1.6628
461,1.0053,0.83508
462,0.36341,0.79692
463,-0.40806,2.2538
464,0.59787,0.0061581
465,-0.48,-0.39628
466,0.52178,-1.4765
467,-0.285,-0.60037
468,1.4343,-0.54738
469,1.3342,-0.35634
470,-1.165,-0.91406
471,-2.2677,0.80016
472,-0.48773,0.80706
473,-1.4122,0.8012
474,-1.9748,-0.2711
475,-0.11417,-2.2996
476,0.73639,-1.2313
477,-0.32492,0.19132
478,0.090623,0.67958
479,0.48884,1.4525
480,1.3927,-0.1296
481,-0.4963,0.80762
482,-1.5445,1.1199
483,-1.373,0.51946
484,0.11676,-1.4666
485,0.23847,-0.56892
486,-0.62452,1.1288
487,-1.0917,0.07241
488,-0.37771,0.84532
489,-0.34644,1.4854
490,0.21628,1.187
491,-1.1151,-0.071945
492,-0.21349,-1.3652
493,-0.22563,-0.37237
494,-0.1332,-0.27448
495,0.73833,-0.39627
496,-0.077459,-1.2687
497,-1.679,-0.20133
498,-0.80659,-0.14789
499,0.093817,-0.36225
500,-0.84139,2.1565
501,-1.2613,1.0113
502,-0.033556,-0.55488
503,0.88046,-2.0423
504,0.28137,0.65775
505,-0.17018,0.15937
506,-0.40235,1.4246
507,-1.1388,0.085076
508,0.87828,-0.24711
509,1.2326,-0.4728
510,0.034033,-0.67667
511,-0.7234,0.83347
512,-1.7139,1.1945
513,-1.9245,-0.64113
514,-0.37094,-1.6913
515,0.46595,-1.5896
516,0.71452,0.49785
517,-0.87627,-0.41808
518,-0.3325,-0.27208
519,0.35009,-0.043898
520,2.3958,-0.23228
521,0.36125,-0.31968
522,-1.9561,-1.2016
523,0.19281,-1.4852
524,0.67442,-1.4825
525,-0.56941,0.82771
526,-1.1805,0.047635
527,-0.90227,-0.31586
528,0.78724,-1.0101
529,-0.28496,0.36313
530,1.5055,0.83448
531,1.168,-0.30739
532,-1.6946,-2.0013
533,-1.0471,-0.25658
534,0.24913,0.15078
535,1.2011,-1.2714
536,3.1453,-0.93334
537,2.2514,-2.0033
538,0.90072,0.94928
539,0.76553,1.5891
540,0.52158,3.0535
541,-1.4812,2.7413
542,-1.9338,-1.3774
543,-1.7129,-2.6209
544,0.52925,-0.39403
545,0.37727,-0.21764
546,-0.5005,-0.16283
547,0.2699,-1.442
548,-0.40504,-1.6185
549,0.39439,-1.6147
550,0.71944,0.14642
551,-0.34422,0.93244
552,-0.65096,0.40854
553,-2.4763,0.57433
554,-1.2575,-0.28931
555,-1.73,1.197
556,-2.0364,0.76076
557,-0.51291,0.41645
558,-0.23067,-0.13651
559,-0.52712,0.48388
560,0.57416,1.0124
561,1.7759,1.255
562,1.2138,0.80615
563,2.7231,-1.5772
564,1.145,-0.18743
565,0.28285,-0.47234
566,0.03057,-0.6939
567,0.10551,-0.3307
568,-1.9828,0.10235
569,-2.3144,-0.45079
570,-1.5936,0.18934
571,0.67434,0.66759
572,3.104,1.8015
573,1.8725,0.89437
574,-0.86435,-1.6115
575,0.13009,-0.71383
576,-0.20419,1.1982
577,-0.10952,1.1348
578,0.3349,1.7327
579,0.90961,-0.2333
580,1.9793,-0.43866
581,0.12658,-0.0087782
582,-0.62872,1.661
583,-0.247,0.21433
584,-1.1121,0.59297
585,-0.40228,0.308
586,-0.68144,-0.95669
587,0.79157,-0.14908
588,-0.15014,1.8671
589,0.054305,0.93971
590,-0.37854,-0.70589
591,1.1614,-1.2722
592,2.4993,-0.6445
593,0.1223,0.48169
594,-2.0727,2.9227
